"","instr","college_student","inFavor_inclusion_diffRating_in_Qguide","strongOpin","age","male","gender_TEXT","yearSchool","condition","instr_A","product_clean1","product_neutral1","product_neutral2","product_clean2","product_clean3","product_neutral3","product_clean4","product_neutral4","product_neutral5","product_clean5","selfAliena_1","selfAliena_2","selfAliena_3","selfAliena_4","amountChoice_writing_essay","av_products_clean","av_products_neutral","self_alienation","amount_choice","cond_Num"
300,1,1,1,6,22,1,"            ","Senior","High_Choice   ",1,3,5,4,3,5,4,5,5,4,5,2,2,2,2,1,4.2,4.4,2,1,1
301,1,1,1,7,19,1,"            ","Sophomore","No_Choice     ",1,2,6,4,5,5,3,5,1,6,7,3,3,3,3,2,4.8,4,3,2,0
302,1,1,0,2,21,0,"            ","senior","ProAttitudinal",1,5,5,3,4,3,5,5,1,6,5,2,2,2,2,5,4.4,4,2,5,2
303,1,1,1,7,20,0,"            ","Junior","ProAttitudinal",1,5,4,7,4,3,2,3,1,1,6,2,2,1,1,4,4.2,3,1.5,4,2
304,1,1,1,4,21,0,"            ","senior","No_Choice     ",1,5,5,5,5,1,1,5,1,1,3,3,3,3,3,3,3.8,2.6,3,3,0
305,1,1,1,6,21,1,"            ","Senior","ProAttitudinal",1,5,4,6,4,3,5,6,1,5,2,1,1,1,1,6,4,4.2,1,6,2
306,1,1,1,6,19,0,"            ","2017","No_Choice     ",1,6,6,6,4,4,4,4,4,6,4,1,1,1,1,1,4.4,5.2,1,1,0
307,1,1,1,7,19,0,"            ","Sophomore","No_Choice     ",1,6,7,6,5,2,4,5,1,7,3,1,1,1,1,5,4.2,5,1,5,0
308,1,1,1,5,20,0,"            ","2016, Junior","ProAttitudinal",1,3,5,1,2,1,3,3,3,5,1,2,1,1,1,7,2,3.4,1.25,7,2
309,1,1,1,7,17,1,"            ","Freshman","No_Choice     ",1,6,3,3,6,4,5,6,2,1,4,2,2,2,2,3,5.2,2.8,2,3,0
310,1,1,1,5,19,1,"            ","Sophomore","High_Choice   ",1,5,2,3,5,1,5,6,2,3,3,2,2,2,2,2,4,3,2,2,1
311,1,1,1,6,20,1,"            ","Junior","ProAttitudinal",1,2,2,5,2,2,3,2,4,5,2,2,2,2,2,6,2,3.8,2,6,2
312,1,1,1,7,21,1,"            ","4","ProAttitudinal",1,3,2,6,5,4,5,5,1,6,5,5,4,4,5,4,4.4,4,4.5,4,2
313,1,1,1,4,21,0,"            ","Senior","No_Choice     ",1,4,6,4,6,6,6,6,5,7,6,3,3,3,3,5,5.6,5.6,3,5,0
314,1,1,1,5,20,3,"genderqueer ","junior","No_Choice     ",1,3,4,7,5,2,3,2,2,7,1,2,2,2,3,3,2.6,4.6,2.25,3,0
315,1,1,1,2,21,0,"            ","2015 Senior","ProAttitudinal",1,1,3,4,3,1,1,5,2,6,1,3,3,3,3,1,2.2,3.2,3,1,2
316,1,1,1,4,18,1,"            ","Sophomore","High_Choice   ",1,5,5,2,5,5,2,5,2,1,5,2,2,2,2,3,5,2.4,2,3,1
317,1,1,1,7,19,0,"            ","2nd year","High_Choice   ",1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,2.2,2.2,1,7,1
318,1,1,1,7,21,0,"            ","Senior","ProAttitudinal",1,7,7,6,7,7,4,7,1,7,7,1,1,2,2,6,7,5,1.5,6,2
319,1,1,1,6,20,0,"            ","Junior","No_Choice     ",1,1,5,7,1,1,3,5,1,6,1,3,2,2,3,1,1.8,4.4,2.5,1,0
320,1,1,1,4,20,0,"            ","Sophomore","ProAttitudinal",1,6,7,2,6,4,4,5,1,1,4,5,2,4,2,3,5,3,3.25,3,2
321,1,1,1,6,19,0,"            ","Sophomore","High_Choice   ",1,5,5,2,5,3,3,4,5,2,4,2,2,3,3,1,4.2,3.4,2.5,1,1
322,1,1,1,6,19,0,"            ","Sophomore","No_Choice     ",1,3,5,6,3,2,4,2,2,4,2,1,1,1,1,1,2.4,4.2,1,1,0
323,1,1,1,6,20,0,"            ","Junior","High_Choice   ",1,6,5,7,4,4,5,5,3,5,3,5,4,4,4,2,4.4,5,4.25,2,1
324,1,1,1,6,19,0,"            ","sophomore","No_Choice     ",1,7,7,7,7,1,7,7,7,7,1,1,1,1,1,4,4.6,7,1,4,0
325,1,1,1,5,19,1,"            ","Junior","ProAttitudinal",1,6,3,3,4,4,6,6,2,2,3,2,3,3,3,7,4.6,3.2,2.75,7,2
326,1,1,1,7,20,0,"            ","2016","High_Choice   ",1,4,4,1,5,4,4,3,1,1,3,6,3,3,3,1,3.8,2.2,3.75,1,1
327,1,1,1,5,20,0,"            ","Junior","ProAttitudinal",1,3,4,2,1,1,1,1,1,1,1,2,1,1,1,3,1.4,1.8,1.25,3,2
328,1,1,0,5,20,1,"            ","Junior","No_Choice     ",1,5,3,2,1,1,1,3,1,1,4,3,2,4,4,1,2.8,1.6,3.25,1,0
329,1,1,1,6,20,0,"            ","Sophomore","No_Choice     ",1,7,2,1,5,4,3,5,1,5,5,1,2,2,2,2,5.2,2.4,1.75,2,0
330,1,1,1,5,22,1,"            ","Senior","ProAttitudinal",1,2,4,2,2,1,6,4,1,2,3,2,3,2,2,5,2.4,3,2.25,5,2
331,1,1,1,7,20,0,"            ","Senior","High_Choice   ",1,2,2,7,6,2,2,6,2,6,2,2,2,2,2,1,3.6,3.8,2,1,1
332,1,1,1,7,21,0,"            ","Senior","ProAttitudinal",1,7,7,3,7,7,7,7,1,1,5,2,2,2,2,7,6.6,3.8,2,7,2
333,1,1,1,6,24,0,"            ","2011","No_Choice     ",1,6,7,6,5,6,6,5,5,7,6,6,5,7,6,7,5.6,6.2,6,7,0
334,1,1,1,7,20,0,"            ","3rd","No_Choice     ",1,4,7,4,7,4,4,6,1,1,6,1,1,1,1,1,5.4,3.4,1,1,0
335,1,1,1,5,20,0,"            ","junior","High_Choice   ",1,2,5,6,2,1,6,2,3,3,6,3,5,6,4,1,2.6,4.6,4.5,1,1
336,1,1,0,4,21,0,"            ","2015","ProAttitudinal",1,5,5,1,4,4,2,2,1,1,4,2,2,2,2,2,3.8,2,2,2,2
337,1,1,1,7,20,0,"            ","Sophomore (Year 2)","No_Choice     ",1,2,4,4,3,1,1,2,1,1,4,2,1,1,1,4,2.4,2.2,1.25,4,0
338,1,1,1,6,19,1,"            ","Sophomore","High_Choice   ",1,4,4,6,4,4,4,4,4,6,4,4,5,5,5,5,4,4.8,4.75,5,1
339,1,1,1,6,23,1,"            ","2","No_Choice     ",1,1,7,6,5,4,5,3,7,7,6,6,7,7,6,7,3.8,6.4,6.5,7,0
340,1,1,1,7,27,1,"            ","5","ProAttitudinal",1,1,4,6,1,1,6,1,5,5,1,1,1,1,1,6,1,5.2,1,6,2
341,1,1,1,7,19,0,"            ","Junior","ProAttitudinal",1,4,6,1,5,3,6,6,2,4,2,2,2,2,2,7,4,3.8,2,7,2
342,1,1,1,6,27,0,"            ","4","ProAttitudinal",1,4,5,4,4,4,5,4,5,6,3,2,1,1,1,3,3.8,5,1.25,3,2
343,1,1,1,4,19,0,"            ","2017","High_Choice   ",1,2,2,4,1,1,1,1,1,4,5,2,2,2,2,6,2,2.4,2,6,1
344,1,1,1,6,19,0,"            ","sophomore","No_Choice     ",1,1,5,4,4,3,4,7,1,5,6,1,2,2,2,1,4.2,3.8,1.75,1,0
345,1,1,1,7,20,0,"            ","2017","High_Choice   ",1,7,5,6,1,1,3,1,1,7,1,5,5,6,5,6,2.2,4.4,5.25,6,1
346,1,1,1,6,19,1,"            ","Sophomore (2017)","No_Choice     ",1,1,4,3,5,5,6,7,2,7,5,3,2,1,1,4,4.6,4.4,1.75,4,0
347,1,1,1,6,21,0,"            ","senior","High_Choice   ",1,6,6,1,5,1,1,5,2,1,2,2,2,2,2,4,3.8,2.2,2,4,1
348,1,1,1,7,20,0,"            ","sophomore","ProAttitudinal",1,2,5,5,4,4,4,4,4,1,4,1,1,1,1,7,3.6,3.8,1,7,2
