district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
MD-08,MD,8,Jamie Raskin,D,76.8,20.4,56.5,76.8,20.4,56.5,0
ME-01,ME,1,Chellie Pingree,D,59.7,38.1,21.6,59.7,38.1,21.6,0
ME-02,ME,2,Jared Golden,D,44.5,53.5,-9.1,44.5,53.5,-9.1,0
MI-01,MI,1,Jack Bergman,R,38.7,59.9,-21.2,38.7,59.9,-21.2,0
MI-02,MI,2,John Moolenaar,R,34.2,64.3,-30.1,34.2,64.3,-30.1,0
MI-03,MI,3,Hillary Scholten,D,53.1,45.2,7.8,53.1,45.2,7.8,0
MI-04,MI,4,Bill Huizenga,R,46.5,52,-5.5,46.5,52,-5.5,0
MI-05,MI,5,Tim Walberg,R,35.8,62.8,-27,35.8,62.8,-27,0
MI-06,MI,6,Debbie Dingell,D,60.4,37.1,23.3,60.4,37.1,23.3,0
MI-07,MI,7,Tom Barrett,R,48.6,49.9,-1.3,48.6,49.9,-1.3,0
MI-08,MI,8,Kristen McDonald Rivet,D,48.3,50.3,-2,48.3,50.3,-2,0
MI-09,MI,9,Lisa McClain,R,33.2,65.5,-32.3,33.2,65.5,-32.3,0
MI-10,MI,10,John James,R,45.7,52.2,-6.5,45.7,52.2,-6.6,0
MI-11,MI,11,Haley Stevens,D,57,40.9,16.1,57,40.9,16.1,0
MI-12,MI,12,Rashida Tlaib,D,66.6,28.6,38,66.6,28.6,38,0
MI-13,MI,13,Shri Thanedar,D,69.4,28.4,41.1,69.4,28.4,41.1,0
MN-01,MN,1,Brad Finstad,R,43.1,55.1,-12,43.1,55.1,-12,0
MN-02,MN,2,Angie Craig,D,51.9,46.1,5.8,51.9,46.1,5.8,0
MN-03,MN,3,Kelly Morrison,D,59.6,38.3,21.3,59.6,38.3,21.3,0
MN-04,MN,4,Betty McCollum,D,66.7,31.1,35.7,66.8,31.1,35.7,0
MN-05,MN,5,Ilhan Omar,D,79.6,17.7,61.9,79.6,17.8,61.9,0
